q_id,text,opt_0,opt_1,opt_2,opt_3,opt_4,val_0,val_1,val_2,val_3,val_4
1,在过去一个月中，你因为意外的事而感到心烦意乱,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
2,在过去一个月中，你感到无法掌控生活中重要的事情,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
3,在过去一个月中，你感到紧张或有压力,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
4,在过去一个月中，你成功地处理了生活中的烦恼,从来没有,几乎没有,有时,相当经常,非常经常,4,3,2,1,0
5,在过去一个月中，你感到事情都在按照你的意愿发展,从来没有,几乎没有,有时,相当经常,非常经常,4,3,2,1,0
6,在过去一个月中，你感到无法应付所有你必须做的事情,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
7,在过去一个月中，你能够控制生活中的困难,从来没有,几乎没有,有时,相当经常,非常经常,4,3,2,1,0
8,在过去一个月中，你感到有信心能处理个人问题,从来没有,几乎没有,有时,相当经常,非常经常,4,3,2,1,0
9,在过去一个月中，你感到事情超出你的掌控,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
10,在过去一个月中，你对生活中的困难感到愤怒,从来没有,几乎没有,有时,相当经常,非常经常,0,1,2,3,4
