q_id,text,dimension,opt_0,opt_1,opt_2,opt_3,opt_4,val_0,val_1,val_2,val_3,val_4
1,头痛,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
2,神经过敏，心中不踏实,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
3,头脑中有不必要的想法或字句盘旋,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
4,头晕或晕倒,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
5,对异性的兴趣减退,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
6,对旁人责备求全,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
7,感到别人能控制您的思想,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
8,责怪别人制造麻烦,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
9,忘性大,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
10,担心自己的衣饰整齐及仪态的端正,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
11,容易烦恼和激动,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
12,胸痛,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
13,害怕空旷的场所或街道,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
14,感到自己的精力下降，活动减慢,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
15,想结束自己的生命,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
16,听到旁人听不到的声音,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
17,发抖,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
18,感到大多数人都不可信任,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
19,胃口不好,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
20,容易哭泣,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
21,同异性相处时感到害羞不自在,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
22,感到受骗、中了圈套或有人想抓住您,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
23,无缘无故地突然感到害怕,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
24,自己不能控制地大发脾气,敌对,没有,很轻,中等,偏重,严重,1,2,3,4,5
25,怕单独出门,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
26,经常责怪自己,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
27,腰痛,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
28,感到难以完成任务,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
29,感到孤独,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
30,感到苦闷,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
31,过分担忧,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
32,对事物不感兴趣,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
33,感到害怕,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
34,感情容易受到伤害,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
35,旁人能知道您的私下想法,精神病性,没有,很轻,中等,偏重,严重,1,2,3,4,5
36,感到别人不理解您、不同情您,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
37,感到人们对您不友好，不喜欢您,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
38,做事必须做得很慢以保证做得正确,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
39,心跳得很厉害,焦虑,没有,很轻,中等,偏重,严重,1,2,3,4,5
40,恶心或胃部不舒服,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
41,感到比不上他人,人际敏感,没有,很轻,中等,偏重,严重,1,2,3,4,5
42,肌肉酸痛,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
43,感到有人在监视您、谈论您,偏执,没有,很轻,中等,偏重,严重,1,2,3,4,5
44,难以入睡,其他,没有,很轻,中等,偏重,严重,1,2,3,4,5
45,做事必须反复检查,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
46,难以做出决定,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
47,怕乘电车、公共汽车、地铁或火车,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
48,呼吸有困难,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
49,一阵阵发冷或发热,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
50,因为感到害怕而避开某些东西、场合或活动,恐怖,没有,很轻,中等,偏重,严重,1,2,3,4,5
51,脑子变空了,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
52,身体发麻或刺痛,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
53,喉咙有梗塞感,躯体化,没有,很轻,中等,偏重,严重,1,2,3,4,5
54,感到没有前途没有希望,抑郁,没有,很轻,中等,偏重,严重,1,2,3,4,5
55,不能集中注意力,强迫,没有,很轻,中等,偏重,严重,1,2,3,4,5
