q_id,text,opt_0,opt_1,opt_2,opt_3,val_0,val_1,val_2,val_3
1,我觉得不安或发愁,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
2,我做事提不起劲或没有兴趣,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
3,我觉得自己不如别人或失败了,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
4,我感到自卑或没有自信,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
5,我感到害怕或惊恐,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
6,我睡不安稳或睡眠质量差,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
7,我感到快乐,很少或没有,有时,经常或大部分时间,持续或几乎一直,3,2,1,0
8,我感到孤独,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
9,我觉得自己无法摆脱低落的情绪,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
10,我觉得未来充满希望,很少或没有,有时,经常或大部分时间,持续或几乎一直,3,2,1,0
11,我的睡眠不安稳（如易醒、多梦）,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
12,我对未来充满希望,很少或没有,有时,经常或大部分时间,持续或几乎一直,3,2,1,0
13,我感到坐立不安或烦躁,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
14,我觉得生活没有意义,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
15,我有过自杀的想法,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
16,我感到悲伤或想哭,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
17,我感到疲倦或没有活力,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
18,我觉得自己是个有用的人,很少或没有,有时,经常或大部分时间,持续或几乎一直,3,2,1,0
19,我觉得生活是美好的,很少或没有,有时,经常或大部分时间,持续或几乎一直,3,2,1,0
20,我觉得自己做什么都很困难,很少或没有,有时,经常或大部分时间,持续或几乎一直,0,1,2,3
